date,label
2019-11-14,-0.03252029368516418
2019-11-15,-0.04201686480785671
2019-11-18,-0.09649124182932722
2019-11-19,-0.03883491549912932
2019-11-20,0.0
2019-11-21,0.010101000370632551
2019-11-22,0.09000003337860107
2019-11-25,0.2844036085197674
2019-11-26,-0.04285710271523857
2019-11-27,-0.0597015230765604
2019-11-29,0.01587300085546861
2019-12-02,0.023437478172126713
2019-12-03,-0.007633580839735754
2019-12-04,-0.030769202554013275
2019-12-05,0.0
2019-12-06,-0.0952380997433594
2019-12-09,-0.05263152941442195
2019-12-10,-0.046296360684027316
2019-12-11,0.0679612178606539
2019-12-12,-0.05454550971669481
2019-12-13,0.009615375798129211
2019-12-16,-0.057142805242211714
2019-12-17,0.0
2019-12-18,0.030303001111897654
2019-12-19,-0.04901956201103741
2019-12-20,-0.010309329662834377
2019-12-23,-0.010416656965389626
2019-12-24,-0.02105261176576878
2019-12-26,-0.01075267783478251
2019-12-27,-0.021739174096029212
2019-12-30,0.0
2019-12-31,-0.02222220161814692
2020-01-02,0.19318177046115714
2020-01-03,-0.08571426462964848
2020-01-06,0.010416719053562673
2020-01-07,0.12371134147315632
2020-01-08,-0.1284404045985037
2020-01-09,-0.02105261176576878
2020-01-10,0.0
2020-01-13,-0.021505355669564907
2020-01-14,0.08791206703858645
2020-01-15,0.0
2020-01-16,0.030303001111897654
2020-01-17,0.00980391240220757
2020-01-21,-0.048543644373911676
2020-01-22,0.0
2020-01-23,-0.04081634763179798
2020-01-24,-0.01063828775385156
2020-01-27,0.02150535566956502
2020-01-28,0.0631578980390386
2020-01-29,-0.01980196150035629
2020-01-30,0.08080812337848275
2020-01-31,-0.028037466475174244
2020-02-03,-0.01923075159625831
2020-02-04,0.0
2020-02-05,0.12745097810055195
2020-02-06,-0.03478257624548575
2020-02-07,0.02702700090373522
2020-02-10,-0.026315764707210976
2020-02-11,0.06306300210871574
2020-02-12,0.06779664955205078
2020-02-13,-0.007936500427734305
2020-02-14,0.0
2020-02-18,-0.1119999885559082
2020-02-19,-0.036036001204980406
2020-02-20,-0.028037466475174244
2020-02-21,-0.0096153757981291
2020-02-24,-0.048543644373911676
2020-02-25,-0.03061227592911475
2020-02-26,0.01052630588288439
2020-02-27,-0.031249970896168877
2020-02-28,-0.07526880893449261
2020-03-02,0.023255791388182345
2020-03-03,0.02272725117600638
2020-03-04,0.011111167036458314
2020-03-05,0.0
2020-03-06,-0.02197806588435247
2020-03-09,-0.19101119080572215
2020-03-10,0.027777750183035854
2020-03-11,-0.027027000903735332
2020-03-12,-0.25
2020-03-13,0.11111111111111116
2020-03-16,-0.18333334989017847
2020-03-17,-0.020408204226431526
2020-03-18,-0.1666666356225801
2020-03-19,0.19999995529651704
2020-03-20,0.08333331781129005
2020-03-23,-0.1346153757981291
2020-03-24,0.15555554378179814
2020-03-25,-0.03846150319251662
2020-03-26,0.039999961853027344
2020-03-27,-0.03846150319251662
2020-03-30,-0.019999980926513672
2020-03-31,-0.08163269526359607
2020-04-01,-0.11111107431811951
2020-04-02,0.12499995343387194
2020-04-03,0.022222267845531718
2020-04-06,0.08695650202114802
2020-04-07,0.0
2020-04-08,-0.04000002145767212
2020-04-09,-0.0416666278615585
2020-04-13,-0.043478283404402185
2020-04-14,0.02272725117600638
2020-04-15,0.0
2020-04-16,-0.04444440323629384
2020-04-17,0.0
2020-04-20,0.0
2020-04-21,-0.023255860695907793
2020-04-22,0.0
2020-04-23,0.19047622764462102
2020-04-24,-0.06000000238418579
2020-04-27,-0.02127657550770312
2020-04-28,-0.043478283404402185
2020-04-29,0.09090907243657687
2020-04-30,-0.0625000038805108
2020-05-01,-0.02222220161814692
2020-05-04,-0.02272725117600638
2020-05-05,0.04651158277636491
2020-05-06,0.15555554378179814
2020-05-07,0.28846161781683777
2020-05-08,0.34328351304429816
2020-05-11,-0.15555554378179826
2020-05-12,-0.18421050980480735
2020-05-13,0.19354839329913043
2020-05-14,0.1621621665160442
2020-05-15,-0.0697674434722727
2020-05-18,0.012499987892806708
2020-05-19,0.0
2020-05-20,0.024691334404499887
2020-05-21,-0.14457832190515985
2020-05-22,0.028169072021973385
2020-05-26,-0.01369861671503625
2020-05-27,0.0
2020-05-28,0.013888875091518038
2020-05-29,-0.04109593179530491
2020-06-01,0.04285718786473258
2020-06-02,0.12328763208552229
2020-06-03,0.12195124965136728
2020-06-04,0.18478262348413899
2020-06-05,-0.08256883543354943
2020-06-08,-0.0899999737739563
2020-06-09,-0.010989065691980104
2020-06-10,0.3888889256818804
2020-06-11,-0.25599999427795406
2020-06-12,0.0
2020-06-15,0.02150535566956502
2020-06-16,-0.01052630588288439
2020-06-17,-0.06382978993230626
2020-06-18,-0.02272725117600638
2020-06-19,-0.023255860695907793
2020-06-22,0.29761912786906786
2020-06-23,0.009174302896359121
2020-06-24,-0.10909091106131052
2020-06-25,0.0306122151080499
2020-06-26,-0.08910888576610376
2020-06-29,-0.0326087287502157
2020-06-30,0.022471956014182393
2020-07-01,0.021978000384744734
2020-07-02,-0.021505355669564907
2020-07-06,0.03296700057711699
2020-07-07,-0.042553214424603025
2020-07-08,0.1111111405455043
2020-07-09,-0.06000000238418579
2020-07-10,-0.01063828775385156
2020-07-13,-0.05376345326492771
2020-07-14,0.034090944496560915
2020-07-15,0.010989000192372256
2020-07-16,-0.010869554654186486
2020-07-17,-0.010989065691980104
2020-07-20,0.033333368654605344
2020-07-21,0.010752677834782398
2020-07-22,0.11702122870156417
2020-07-23,-0.08571426462964848
2020-07-24,0.08333331781129005
2020-07-27,0.3653846242018708
